Designator,Mid X,Mid Y,Rotation,Layer
C1,129.66,-94.9425,90.0,bottom
C10,132.3075,-82.68,180.0,bottom
C11,142.7775,-88.96,0.0,bottom
C12,142.1125,-89.83,0.0,bottom
C13,136.8725,-82.02,180.0,bottom
C14,146.77,-99.4525,270.0,bottom
C2,131.09,-87.96,90.0,bottom
C26,135.3325,-128.6,180.0,top
C27,135.2325,-129.6,0.0,bottom
C28,143.3,-132.5,270.0,top
C29,140.7675,-120.8,180.0,bottom
C3,137.5425,-92.42,180.0,bottom
C30,135.1325,-120.4,0.0,bottom
C31,135.3,-115.3,180.0,top
C32,135.2675,-116.5,180.0,top
C33,133.9,-121.2,180.0,top
C34,135.2675,-128.6,0.0,bottom
C35,141.6,-121.7,180.0,top
C36,141.1,-124.2,90.0,top
C4,129.7,-97.2875,270.0,bottom
C40,146.7025,-91.82,180.0,bottom
C41,147.0,-86.7025,270.0,bottom
C42,146.7525,-90.58,180.0,bottom
C43,146.02,-87.8925,270.0,bottom
C44,149.8575,-88.03,0.0,bottom
C45,145.04,-87.8925,270.0,bottom
C46,149.7825,-86.95,0.0,bottom
C47,145.3625,-89.55,180.0,bottom
C48,149.8025,-91.4,0.0,bottom
C49,149.8175,-90.41,0.0,bottom
C5,132.9125,-83.66,180.0,bottom
C50,149.8175,-89.2,0.0,bottom
C51,152.83,-68.8575,270.0,top
C52,148.64,-85.0875,90.0,bottom
C53,151.58,-86.19,90.0,bottom
C54,145.47,-96.2775,270.0,bottom
C55,147.71,-96.7375,270.0,bottom
C56,149.62,-98.7525,270.0,top
C57,152.15,-98.8775,270.0,bottom
C58,145.69,-99.47,270.0,bottom
C59,152.1,-93.6875,270.0,bottom
C6,129.68,-87.8475,270.0,bottom
C60,147.82,-93.7,90.0,bottom
C61,152.55,-88.2275,270.0,bottom
C62,149.79,-85.1125,90.0,bottom
C63,152.33,-90.53,90.0,bottom
C64,151.83,-100.2325,270.0,top
C65,144.3725,-62.36,180.0,top
C66,132.8975,-135.61,0.0,bottom
C67,132.9025,-133.53,0.0,bottom
C68,147.77,-109.69,90.0,top
C69,132.8875,-133.965,180.0,top
C7,140.52,-91.1525,270.0,bottom
C70,139.3325,-115.5,0.0,top
C71,139.3325,-116.5,0.0,top
C72,138.4,-126.6675,90.0,top
C73,129.9675,-121.7,0.0,top
C74,129.9,-122.7,0.0,top
C8,129.65,-83.3525,270.0,bottom
C9,129.65,-85.5875,270.0,bottom
D1,149.34,-81.515,90.0,top
D2,152.18,-81.535,90.0,top
D3,150.1675,-124.67,0.0,top
D4,146.22,-63.78,0.0,top
J1,143.35,-72.78,270.0,top
J2,149.09,-132.72,0.0,top
J3,144.66,-59.12,180.0,top
L1,139.2,-118.475,90.0,top
L2,136.6,-118.475,270.0,top
L6,133.475,-123.0,180.0,top
R1,129.68,-92.4325,90.0,bottom
R10,152.86,-71.2475,90.0,top
R11,148.8175,-71.1,0.0,bottom
R12,151.22,-72.7825,90.0,bottom
R13,152.89,-66.21,270.0,top
R14,147.0125,-83.26,0.0,bottom
R15,147.93,-81.6125,270.0,top
R16,150.75,-81.6525,270.0,top
R17,149.8525,-95.92,0.0,bottom
R18,149.8375,-96.98,0.0,bottom
R19,144.8725,-94.36,0.0,bottom
R2,129.67,-90.1175,90.0,bottom
R20,151.84,-104.0225,90.0,top
R21,146.4975,-128.29,0.0,top
R22,151.9875,-128.26,180.0,top
R25,145.7125,-112.59,0.0,top
R26,152.86,-84.6875,270.0,top
R27,136.9,-126.6,90.0,top
R28,135.9,-126.6,90.0,top
R29,142.9,-124.6,90.0,top
R3,144.7,-92.4125,270.0,bottom
R4,135.0375,-89.1,0.0,bottom
R5,134.9025,-92.53,0.0,bottom
R6,134.24,-90.7325,90.0,bottom
U1,146.09,-90.365,270.0,top
U2,134.33,-90.0,0.0,top
U4,144.12,-108.67,90.0,top
U5,138.4,-123.0,0.0,top
Y1,149.945,-93.72,180.0,bottom
